S&P 500 Historical Price Data,,,,,,
Date,Price,Open,High,Low,Vol.,Change %
05/09/2008,"1,242.30","1,233.20","1,244.90","1,217.20",,0.44%
08/09/2008,"1,267.80","1,249.50","1,274.40","1,247.10",,2.05%
09/09/2008,"1,224.50","1,268.00","1,268.70","1,224.50",,-3.42%
10/09/2008,"1,232.00","1,227.50","1,243.90","1,221.60",,0.61%
11/09/2008,"1,249.00","1,229.00","1,250.00","1,211.50",,1.38%
12/09/2008,"1,251.70","1,245.90","1,255.10","1,233.80",,0.22%
15/09/2008,"1,192.70","1,250.90","1,250.90","1,192.70",,-4.71%
16/09/2008,"1,213.60","1,188.30","1,214.80","1,169.30",,1.75%
17/09/2008,"1,156.40","1,210.30","1,210.30","1,155.90",,-4.71%
18/09/2008,"1,206.50","1,157.10","1,211.10","1,133.50",,4.33%
19/09/2008,"1,255.10","1,213.10","1,265.10","1,213.10",,4.03%
22/09/2008,"1,207.10","1,255.40","1,255.40","1,205.60",,-3.82%
23/09/2008,"1,188.20","1,207.60","1,221.20","1,187.10",,-1.57%
24/09/2008,"1,185.90","1,188.80","1,197.40","1,179.80",,-0.19%
25/09/2008,"1,209.20","1,187.90","1,220.00","1,187.90",,1.96%
26/09/2008,"1,213.00","1,204.50","1,215.80","1,187.50",,0.31%
29/09/2008,"1,106.40","1,209.10","1,209.10","1,106.40",,-8.79%
30/09/2008,"1,166.40","1,113.80","1,168.00","1,113.80",,5.42%
01/10/2008,"1,161.10","1,164.20","1,167.00","1,140.80",,-0.45%
02/10/2008,"1,114.30","1,160.60","1,160.60","1,111.40",,-4.03%
03/10/2008,"1,099.20","1,115.20","1,153.80","1,098.10",,-1.36%
06/10/2008,"1,056.90","1,097.60","1,097.60","1,008.00",,-3.85%
07/10/2008,996.2,"1,057.60","1,072.90",996.2,,-5.74%
08/10/2008,984.9,988.9,"1,021.10",971,,-1.13%
09/10/2008,909.9,988.4,"1,005.20",909.2,,-7.61%
10/10/2008,899.2,902.3,936.4,839.8,,-1.18%
13/10/2008,"1,003.40",912.8,"1,006.90",912.8,,11.59%
14/10/2008,998,"1,010.00","1,044.30",972.1,,-0.54%
15/10/2008,907.8,994.6,994.6,904,,-9.04%
16/10/2008,946.4,909.5,947.7,865.8,,4.25%
17/10/2008,940.5,942.3,984.6,918.7,,-0.62%
20/10/2008,985.4,943.5,985.4,943.5,,4.77%
21/10/2008,955,980.4,985.4,952.5,,-3.09%
22/10/2008,896.8,951.7,951.7,875.8,,-6.09%
23/10/2008,908.1,899.1,922.8,858.4,,1.26%
24/10/2008,876.8,895.2,896.3,852.9,,-3.45%
27/10/2008,848.9,874.3,893.8,846.8,,-3.18%
28/10/2008,940.5,848.9,940.5,845.3,,10.79%
29/10/2008,930.1,939.5,970,922.3,,-1.11%
30/10/2008,954.1,939.4,963.2,928.5,,2.58%
31/10/2008,968.8,953.1,984.4,944.6,,1.54%
03/11/2008,966.3,968.7,975.6,958.8,,-0.26%
04/11/2008,"1,005.80",971.3,"1,007.50",971.3,,4.09%
05/11/2008,952.8,"1,001.80","1,001.80",949.9,,-5.27%
06/11/2008,904.9,952.4,952.4,899.7,,-5.03%
07/11/2008,931,907.4,931.5,906.9,,2.88%
10/11/2008,919.2,936.8,952,907.5,,-1.27%
11/11/2008,899,917.1,917.1,884.9,,-2.20%
12/11/2008,852.3,893.4,893.4,850.5,,-5.19%
13/11/2008,911.3,853.1,913,818.7,,6.92%
14/11/2008,873.3,904.4,916.9,869.9,,-4.17%
17/11/2008,850.8,873.2,882.3,849,,-2.58%
